,0,1,2,3,4,5
0,14.0,4790864.640436483,21238525.36514056,12607919.593072712,2387630.682453287,869519.7711038415
1,21.0,9609511.094647225,12195733.13690355,13018481.930156305,10251810.812683403,3451946.169113398
2,23.0,2553866.4708889155,1862599.0075438288,1435490.6830373402,3280353.1025319602,655823.478266867
3,25.0,66760150.58899515,13718911.707295015,12661668.85857018,10098013.131255282,1914724.1916093724
4,34.0,19639519.813398845,6675498.164942621,2862197.4000654574,1913787.6493658235,529261.8391298611
5,39.0,33717058.969644755,3474866.1548552457,5038223.227009961,4758732.142262465,647102.2000158594
6,43.0,71672397.01417571,1139525116.3005326,1351221375.447678,1157301035.3111405,665150706.0936053
7,46.0,10999235.032469897,9157352.789650049,8083508.611166812,17469124.013352033,9613801.45207975
8,51.0,19646194.483260438,29813478.330731757,155160279.76944795,164303469.07197452,40068482.48227818
9,57.0,19203136.17697815,19190728.407834463,8324198.836111696,13021149.682824183,4651061.660673972
10,71.0,26154489.00872446,10545388.60344503,14468734.657467514,10487646.43616148,4052828.6208872264
11,72.0,6211834.39143987,6848206.213238773,5709723.0743885,5346604.993603533,2855085.040618239
12,77.0,14275365.305794485,17730402.90311715,7689193.716451914,2993673.6854700632,1343953.2570866388
13,78.0,11536781.088230086,16370210.887780586,16193999.050116573,9464405.1136811,6112347.205047562
14,79.0,172574341.1213737,23486729.931542084,89322302.73054841,149775962.96654594,68079764.20917901
15,80.0,2637315.600292083,1388000.6428376257,1449495.8122542864,985196.6841747017,542557.5358558437
16,82.0,6550124.083342511,3024170.1452043806,2297405.763378155,3614488.289135893,1566199.2437823801
17,83.0,28608755.592702273,15144335.299667899,41753580.66874035,53415679.59720035,25439359.05148755
18,84.0,951887934.7956256,1103975535.7967234,1002225765.5752692,973521343.7060175,356233368.8530952
19,85.0,1479799.728813537,740694.4476537437,554609.8857238111,418693.9063610808,234812.8385717373
20,87.0,11469854.375198392,10767173.142952204,5607742.19572206,5362047.690409244,3305199.98075366
21,88.0,277523527.8259194,235163074.07606894,1946535342.551013,2640272387.4913464,739404747.8432405
22,89.0,16581525118.036442,18253429001.707508,23685420772.66113,6300271897.05945,18525863.97042054
23,91.0,33207407.379123166,21055490.797436006,26820911.519924182,67636968.6039577,37232283.850475654
24,92.0,4291833.379097924,2720653.340107582,2794962.015174,5079545.6238691155,2284240.2784878155
25,93.0,7521273.24334901,8186973.372216536,17752573.032050222,53993110.61651942,47540801.1372226
