,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,10.0,18193214.015760243,14349863.911918212,6180292.334596206,6692981.6282423865,11091603.663316358,10640389.91824398,15095610.6816666,22285942.433802187,7794929.244596051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.0,743505289.824948,49379949.07631743,3856519576.5980897,3789550238.2840734,23359810.713213783,38349288.71742107,18729763.952381067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,2017592.712988992,1951955.0530820552,1534501.4250125391,2655794.53725287,24034511.062699277,58318451.92668867,34455881.200639464,3375773.197246844,1919850.0653758924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,3864910.876342292,21031946.17666286,21078405.72606828,3630395.483513062,2121911.479280059,4703227.427383108,2733381.1275427267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.0,33468193.807065234,11204903.975038903,9366918.74228743,12708918.831999395,20013863.670722645,34047278.11771493,27225816.77338033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.0,6743962.788541103,4038210.2069185358,4393979.276438311,4313044.886555833,19244499.41907983,22040683.230792787,7334645.579975552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26.0,15341688.554589251,7135193.414193701,10731465.252719952,9232248.047462175,10599546.631259728,6497673.527151762,6817274.366356665,28228068.34030444,19589846.971139546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.0,10585706.815922558,6355958.121713133,5070182.694211463,5536790.189790405,6046256.406323881,5753978.757171805,5385806.316162554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.0,70388774.70690918,3669468.2355994387,3440617.657573922,7467101.563815146,7859293.68344816,1540220.0707962383,9181524.335614832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,17097829.338110514,5794043.105861152,13390979.77395998,15850681.597660452,10623295.986164859,9137751.21421142,5541230.3042026665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,32.0,28533884.11240434,29276273.185192376,20106933.80132282,21636430.295407116,18194973.371911976,4530482.938608514,3602963.229154041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
