,0,1,2,3,4,5,6
0,14.0,3480178.5293834833,3465094.7498572716,3886840.7039032923,2370505.6960774614,3467567.2549962327,1639352.1777170938
1,21.0,1212014.1963652181,2501670.3874597917,3770448.465352166,2618266.436873667,4450662.524158203,1768967.194740067
2,23.0,409651.9073623916,1241808.2961337604,75509.48916836949,176297.09244987453,106337.17798494751,285603364.72941875
3,25.0,6768748.159769805,4313153.619899467,2925152.3728347346,3516940.0060395757,4693191.204944275,81543640.17884545
4,34.0,191231.17549102404,185247.87748705735,201581.94813017285,255394.97714165217,185765.53138503665,84750.15818375876
5,39.0,1195558.2500074941,2384789.1015772754,1878782.908205014,2189670.0814855187,1766730.1375966049,1534052.6858158433
6,43.0,1354275.1485848394,417617.3987023828,1953045.3253603273,2189930.068900526,4712945.906745514,4924534.715816451
7,46.0,4340360.613612278,4712534.19717328,2934045.986907472,9873353.584816711,2332096.4145274903,5997214.546729331
8,51.0,19101805.15344706,21820526.660597637,24761210.00628933,21312207.357288785,8123996.931516531,8616942.42172648
9,57.0,0.0,,,,,
10,71.0,3582851.2293538405,2240641.799379121,3514947.6103456765,666212.7937390516,2781943.922727174,1527653.6940810485
11,72.0,15329013.121687423,23853917.96009161,10558813.215179624,5795178.02311985,8380474.945325946,5835356.822816142
12,77.0,799118.2581222864,650275.6772582822,477549.29431774316,764510.7134585439,1667474.1881321776,2624702.711336587
13,78.0,1110641.5913826856,2462169.9885433055,3184759.3431950007,1149405.1413194623,2853689.827697612,815116.1329892874
14,79.0,8111969.085566465,12434173.0378016,9579442.12241434,4601367.640967786,7554967.392760619,7438935.081592152
15,80.0,1179914.8867029606,1515336.9602371096,1221386.2735883216,924082.7260247241,758953.218379621,616251.4728999841
16,82.0,2160083.4449195927,3044683.733202207,4273511.6327807605,3410953.5892677,3514381.5904791476,32357521.05040005
17,83.0,12940674.961632432,11282495.852351557,10930265.114262935,6051114.855138376,2769606.2392750946,2015673.3759375466
18,84.0,101840619.66703293,733464547.2864525,1326991631.9142938,484106478.52148414,834715410.7104592,821710579.4216282
19,85.0,1884981.4017466963,1769549.2186312813,2610381.0500993803,2909547.627408119,2992020.9441485647,6184567.945894784
20,87.0,11850182.016069302,7323603.015215222,6016823.78072031,4356141.88809759,2348817.8293168433,3167115.7809294565
21,88.0,2335432115.9811244,2213653653.968907,1864386770.1373076,3143134177.319727,2741812822.682537,1028024620.9919213
22,89.0,4434154.949479726,2254006.8435100205,3168853.2202119697,27440598.169164285,31550570.617488578,3657485.4040499134
23,91.0,11055380.903838582,5310470.738153397,2796838.702624289,56976235.68587548,59354601.780587934,2932890.7844583024
24,92.0,1706776.990239902,2274484.3648280017,1135458.2956150407,777969.5180547795,2194592.0884527653,2297483.7654919317
25,93.0,0.0,,,,,
