,0,1,2,3,4,5,6
0,10.0,12654630.54102392,13345746.743861932,11765184.539396912,12838098.71315933,13758315.821008928,4019376.0193991987
1,12.0,11711233.555164272,5477060.666242996,4732163.829796085,8072762.54246117,8099752.395533495,3144126.7260296014
2,15.0,2367221.857348904,2209933.083415065,1707599.8039473821,4767378.019743756,2720450.2698747152,1910667.3512667287
3,16.0,91933930.30408677,7772763.228005509,4415192.945304081,2319187.434918548,3260899.693858984,1743065.4636199146
4,18.0,9838736.205787934,1950016.7299723257,2206079.7341857357,3929171.181858277,4907532.471573139,2709914.265656628
5,22.0,3116005.4083990306,4114102.696909825,4473538.278438377,4036630.7987646656,4235001.944509118,1583923.3265364943
6,26.0,2484882.337828642,1554169.795831893,1251651.670714048,1585361.4054595518,2416530.237176313,736625.2873176627
7,27.0,9678946.390386768,5355726.253009373,1721261.5001229986,986618.1527268116,2933981.546655235,1514282.5747763421
8,29.0,14425050.188188603,13100555.59140928,12573960.324076477,11701496.527403781,1106328.2592528814,1672303.1749364266
9,31.0,13889079.583209207,8940511.054423276,5187265.827702608,3593584.666144677,5725390.963373696,5493074.808201309
10,32.0,5957689.032406897,6991377.486698819,7458891.284330465,6750411.444779212,9978203.1340631,5742336.808822058
11,33.0,1182208.1355135355,11666117.278818179,11918476.991659697,1362120.995983019,3670474.736574464,738270.2492664219
12,35.0,1422987.0882181618,1338161.442463453,1685810.3900313254,1301076.8675098931,1973940.413822416,970448.4989297772
13,4.0,749160581.8740582,111180431.42095777,97925474.72901501,94339668.30127239,93481194.16091654,48564316.15712473
14,42.0,1933753.518558763,1804596.2525620195,1982515.962067144,19386806.016763978,19900039.70225459,687872.8567207367
15,45.0,15242512.683957595,8214723.8171920385,6492885.481925357,5576835.098872093,8686747.370457385,4300505.4403232355
16,47.0,6831843.81595381,4785819.740727676,2697938.458192887,5603066.502827225,5622661.485404197,1327420.563789066
17,48.0,22025029.197764266,24490919.50167311,47817425.0561873,50227711.87823687,32892856.00067114,8962546.62406408
18,49.0,24113980.172793213,8606492.082126984,1784775.9619169964,2376501.2400674084,2762743.004893638,778259.4082227529
19,54.0,23352632.492614284,3174370.4267111886,3140389.9095814833,2168470.047904024,1206036.6305146483,556908.1667909876
20,55.0,2000863.6603569102,1172548.5566775533,1093984.6424419037,10531617.820508933,21488165.17966631,6727418.905280397
21,6.0,15237445.464715622,9661006.866213933,88835277.30358705,90984819.84990445,9007478.602038572,1131353.0228205677
22,66.0,5387410325.253799,951256720.4892516,762813740.2915015,7003520.536218338,1363562.9664563197,491874.6245863447
23,69.0,10506982.220281104,69006384.05492121,66935835.276960194,8590039.498430684,11554868.695612185,5109262.393648324
24,7.0,9057281.11989361,1252581.6149964652,821123.5456641198,999516.6427206886,2014626.8331519119,343366.3176716176
25,8.0,3568640.2620083326,3122102.4653518195,1594569.431204788,2055050.7711132646,2380875.9025382,905244.6103760399
