,0,1,2,3,4
0,14.0,3729267.5590652223,331337.138424857,93554.24438409747,19095.127471114807
1,21.0,176934.29483119876,83765.21705310752,213298.03447358415,31777.134916954074
2,23.0,73395502.39426342,332159.9998511162,442500.66461139556,21608426.97503256
3,25.0,2152963.1461108304,55680.32226995648,680679.3244067552,190642.47077164665
4,34.0,128705.32855261747,160750.2618813218,256085.31283224898,14953.327443086775
5,39.0,31150.330296942488,28363.23089342316,18543.29930973082,256878.08657012656
6,43.0,1873503.9415850132,148620.40666045138,142702.77754132406,122179.97130956402
7,46.0,182299.4037138677,111206.21824955089,83228.88446804044,78567.86108528411
8,51.0,9400097.965778958,23542454.371939633,40942930.67735688,35625445.794564284
9,57.0,38863.57394196062,80306.92779497297,,
10,71.0,371301.72619492153,157696.17750320263,324809.55340032466,7634.369653842005
11,72.0,5690636.386014031,3980587.0143555147,261798.4623055101,142164.26927983933
12,77.0,186068.84424047975,157286.10453598094,31055.69740356167,212127.12661280792
13,78.0,54059982.49084027,1105143.993048552,255716.65403391095,243999.37409303687
14,79.0,858350.8406475366,689529.1365832407,579639.090450177,570454.735508295
15,80.0,241443.70889542528,165475.26216374026,296576.6267911072,58302.93598224943
16,82.0,13027241.84134085,1936910.850365202,187157.09730568132,91340.80720145823
17,83.0,225436488.4828172,2672292.3502599206,353184.7579893275,412804.9229511991
18,84.0,811634.060728538,1158308.183988777,360751.6205512238,51867.742190538615
19,85.0,1810401.6898652774,47596.0366396803,135311.81354482105,40915.9349601111
20,87.0,380929.1979901343,116016.22721343907,83963.44432183047,55548.37865012927
21,88.0,398243238.50894576,26597546.345226426,2752113.175003256,31551534.066375207
22,89.0,7675088.975595777,3123042.661822841,235314.00327601642,122716.82095720519
23,91.0,2624122.295873058,1368558.3369248542,284845.90497902327,265005.7568731228
24,92.0,66156.10532105659,3839949.938423823,479020.1421111841,150074.71648596687
25,93.0,1260719.974450641,1251727.6140117266,634853.666380824,2135082.424971331
