,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,14.0,5.4386163,5.4575086,5.436056,5.4332023,5.3370633,5.3349113,5.332859,5.331056,5.330105,5.3300376,5.330544,5.3307033,5.3308005,5.330986,5.331288,5.3314424,5.331634,5.3317056,5.331757,5.3318343,5.331918,5.332008,5.332078,5.332205,5.33222,5.332188,5.332201
1,21.0,4.9949765,4.9901047,4.9870353,4.984354,4.983299,4.9792933,4.976808,4.9732,4.969316,4.964038,4.954611,4.94434,4.93648,4.9289026,4.923308,4.9161367,4.908776,4.901997,4.893889,4.8855395,4.8798246,4.8757463,4.8764334,4.879007,4.878995,4.878883,4.8786454
2,23.0,4.907381,4.906439,4.906093,4.906267,4.9062386,4.9063907,4.9064374,4.906346,4.9061704,4.9061255,4.906176,4.90601,4.9056773,4.9054704,4.905369,4.905117,4.9049964,4.904819,4.904408,4.9039755,4.903502,4.9029803,4.9023585,4.901856,4.901482,4.9011073,4.9006863
3,25.0,4.9292254,4.942264,4.946116,4.953936,4.9578147,4.9596334,4.9598737,4.9587736,4.9559746,4.9516034,4.9435067,4.9393106,4.9360046,4.932613,4.9289365,4.9243197,4.9124637,4.8622675,4.8076205,4.747737,4.6826606,4.6113772,4.532334,4.4429536,4.3397903,4.2179494,4.081743
4,34.0,4.9836802,4.9830365,4.9830923,4.9827614,4.982221,4.981775,4.9811277,4.980585,4.9802456,4.9797106,4.9791927,4.9794393,4.9795594,4.9794993,4.9793444,4.9792576,4.9793925,4.97969,4.980076,4.980285,4.980355,4.9809713,4.9818273,4.9825606,4.9831767,4.983603,4.9839344
5,39.0,4.13814,4.136553,4.136507,4.1364746,4.1365056,4.1364594,4.136456,4.1363664,4.136489,4.13668,4.136912,4.1371474,4.137418,4.1376247,4.1377926,4.1379724,4.1382346,4.138475,4.1388345,4.1390686,4.1390653,4.1390867,4.139068,4.139213,4.13926,4.1393943,4.139545
6,43.0,4.803687,4.79925,4.8002973,4.800089,4.800094,4.800322,4.7991405,4.798821,4.7970147,4.795193,4.7946563,4.7930202,4.7912745,4.789617,4.787907,4.786392,4.784752,4.7827854,4.7823086,4.78127,4.781704,4.78213,4.781185,4.781378,4.782419,4.7834945,4.784351
7,46.0,5.266709,5.2519517,5.2441316,5.244283,5.2450767,5.2459216,5.246714,5.2474017,5.2480087,5.2487106,5.2494054,5.2502103,5.2510476,5.2517514,5.252466,5.2532253,5.253353,5.253259,5.253433,5.253678,5.253951,5.254246,5.2545395,5.254682,5.25491,5.2552786,5.255495
8,51.0,4.0873213,4.0856075,4.0831795,4.079496,4.076858,4.0677905,4.064819,4.0598807,4.0574117,4.057406,4.0573673,4.057343,4.055763,4.0530457,4.0535965,4.05397,4.053414,4.063038,4.0666156,4.0703998,4.0722575,4.0701504,4.0667834,4.064369,4.0625587,4.0630665,4.0619493
9,57.0,4.8601947,4.8634005,4.866303,4.8682075,4.8688855,4.8694687,4.8700333,4.870354,4.870828,4.8713164,4.871561,4.871755,4.8720164,4.8721304,4.872407,4.8724284,4.8731604,4.873831,4.87449,4.875268,4.875654,4.8759255,4.8759418,4.8760686,4.8763223,4.8765483,4.876514
10,71.0,5.0747414,5.0758553,5.0765915,5.0772786,5.0778813,5.078401,5.078887,5.079415,5.079869,5.0803123,5.080792,5.081222,5.0817127,5.082154,5.082478,5.082857,5.083157,5.0834928,5.0838566,5.0842233,5.0845532,5.085071,5.085288,5.0857773,5.086175,5.086686,5.086907
