,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,10.0,5.1926975,5.2887425,5.3725114,5.396997,5.4528275,5.5004525,5.548018,5.590216,5.62674,5.651392,5.6714377,4.9997473,5.016544,5.022207,5.016557,5.0299497,5.031345,5.0361195,5.033066,5.027228,5.0224495,5.03439,5.0497108,5.0551095,5.0561237,5.054142,5.047253,5.0410504,5.035097,5.030789,5.0265965,5.0167813,4.974747,4.9249463,4.890125
1,12.0,4.9063683,4.911768,4.9222665,4.931022,4.9390645,4.9469695,5.082585,5.090531,5.0809746,5.0494404,5.004957,4.940122,4.8763256,4.8862085,4.9144073,4.938607,4.958818,5.0086637,4.8828206,4.884363,4.878878,4.8928,4.896226,4.885439,4.8776298,4.8637753,4.8413124,4.807015,4.7549915,4.6829777,4.71823,4.75251,4.870979,5.1463447,5.229316
2,15.0,4.3819366,4.390324,4.3960633,4.401003,4.411676,4.4350133,4.4572463,4.47983,4.4999433,4.5192685,4.535278,4.5474963,4.537623,4.5237164,4.507092,4.483453,4.919058,4.8882966,4.853089,4.8129296,4.7657447,4.708916,4.671478,4.6716056,4.671744,4.670799,4.6699157,4.6693687,4.003512,4.089985,4.150391,4.195579,4.230284,4.277038,4.3062053
3,16.0,5.1329494,5.1358337,5.1374183,5.1294417,5.1286964,5.1198807,5.1107,5.099983,5.0886774,5.0794444,5.0812483,5.080126,5.078791,5.0765343,5.0741878,5.0689473,5.065372,5.0819163,5.102722,5.1150913,5.118953,5.1175184,5.10507,5.094867,5.0843115,5.0744057,5.065267,5.0563745,5.0567746,5.0527096,5.0427527,5.039023,5.0446167,5.0533123,5.060375
4,18.0,4.210118,4.233553,4.249838,4.257972,4.331409,4.3142085,4.3143497,4.3199143,4.323779,4.3228,4.318891,4.320972,4.3244762,4.3394494,4.370817,4.3987403,4.32844,4.3263273,4.3705955,4.4211607,4.459771,4.4992676,4.532259,4.5612082,4.587434,4.60171,4.601246,4.6325774,4.655789,4.680162,4.6805587,4.7209454,4.7007155,4.6592493,4.632779
5,22.0,3.909168,3.9546883,3.990688,4.029561,4.0808635,4.1063523,4.123094,4.1376495,4.1583805,4.173228,4.1722326,4.167485,4.159781,4.142451,4.1341653,4.112368,4.0766387,4.03661,3.9960496,3.94989,3.9102793,3.8822174,3.8777878,3.879875,3.8743742,3.847757,3.8083544,3.8187876,3.826763,3.8308995,3.8335721,3.8376837,3.8262403,3.8306968,3.8209088
6,26.0,6.1570015,6.1650505,6.16694,6.1470604,6.1291804,6.1094337,6.1028485,5.7003436,5.70006,5.6968274,5.6917686,5.704575,5.7084136,5.711881,5.7133126,5.723314,5.7146897,5.7088027,5.7066193,5.69385,5.691438,5.6909127,5.686739,5.664864,5.6543555,5.6429925,5.6219482,5.5877786,5.568018,5.5452247,5.5167427,5.4829745,5.4690537,5.459764,5.4836574
7,27.0,4.805357,4.7980328,4.7947707,4.791735,4.7893577,4.7866235,4.785195,4.7856317,4.7913976,4.7983937,4.7961535,4.7961183,4.7979107,4.800749,4.803552,4.8076725,4.812408,4.8169494,4.819191,4.819851,4.82093,4.822243,4.823143,4.824924,4.826517,4.829037,4.8305674,4.8303847,4.8301272,4.83715,4.840772,4.8440986,4.8466544,4.8558865,4.9114847
8,29.0,4.877381,4.8960423,4.915578,4.9305243,4.941305,4.9512334,4.958318,4.9532676,4.9420943,4.9321427,4.9212117,4.911466,4.9021173,4.891024,4.9032626,4.9224253,5.1133995,5.150577,5.2082663,5.384089,5.3961873,5.391977,5.368006,5.3305316,5.286696,5.2723837,5.2553034,5.2565465,5.039192,5.0335813,4.9950047,4.7614174,4.701235,4.6595783,4.678906
9,31.0,4.4356866,4.430856,4.426185,4.421795,4.4182277,4.40902,4.4027214,4.390048,4.376351,4.3534913,4.3296757,4.305978,4.2816463,4.2567983,4.2306724,4.2032228,4.175371,4.15708,4.13174,4.1063695,4.083071,4.082583,4.083999,4.0846972,4.0854983,4.0862794,4.0872793,4.088314,4.0891576,4.089997,4.0909576,4.092131,4.501385,4.5020795,4.5198946
