,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,10.0,-0.48333332,-1.45,-2.4833333,-3.65,-6.133333,-8.966666,-11.9,-14.95,-17.883333,-20.816668,-23.766666,-25.5,-26.0,-26.0,-25.833334,-25.666666,-25.533333,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.533333,-25.666666,-25.821428
1,12.0,-31.983334,-32.4,-32.516666,-32.566666,-32.55,-32.5,-32.483334,-32.466667,-32.466667,-32.533333,-32.583332,-32.65,-32.666668,-32.633335,-32.6,-32.533333,-32.466667,-32.433334,-32.25,-31.716667,-31.666666,-30.733334,-29.566668,-28.3,-26.983334,-25.65,-24.65,-23.946428
2,15.0,-27.183332,-27.233334,-27.616667,-27.733334,-27.866667,-28.483334,-28.116667,-27.666666,-27.433332,-27.15,-26.783333,-26.3,-25.883333,-25.716667,-25.683332,-25.166666,-24.75,-24.65,-24.516666,-24.516666,-24.516666,-24.516666,-24.466667,-24.466667,-24.6,-25.733334,-26.266666,-26.357143
3,16.0,-35.733334,-36.6,-38.133335,-39.45,-39.55,-39.25,-39.166668,-38.9,-38.316666,-37.783333,-37.283333,-37.15,-36.783333,-36.4,-35.966667,-35.65,-35.25,-34.733334,-34.2,-33.85,-33.616665,-33.533333,-33.4,-33.433334,-33.466667,-33.433334,-33.4,-33.30357
4,18.0,-26.116667,-25.85,-28.383333,-28.766666,-28.816668,-30.416666,-32.766666,-33.183334,-33.433334,-33.6,-33.666668,-33.75,-33.866665,-32.833332,-28.816668,-26.583334,-25.966667,-24.1,-21.583334,-20.766666,-20.066668,-19.383333,-18.933332,-18.416666,-17.966667,-18.6,-22.15,-24.035715
5,22.0,-31.016666,-30.6,-30.35,-30.183332,-30.1,-29.983334,-29.783333,-29.616667,-29.5,-29.416666,-29.3,-29.166666,-29.083334,-29.033333,-29.0,-29.0,-29.0,-28.966667,-28.966667,-28.966667,-28.933332,-28.766666,-28.6,-28.383333,-28.15,-27.683332,-27.283333,-27.142857
6,26.0,-38.45,-38.516666,-38.833332,-39.116665,-39.416668,-39.75,-39.866665,-39.983334,-40.033333,-40.016666,-40.033333,-40.15,-39.85,-39.6,-39.516666,-39.333332,-39.166668,-39.033333,-39.033333,-39.1,-39.2,-39.233334,-39.266666,-39.25,-39.466667,-39.683334,-39.683334,-39.82143
7,27.0,-12.233334,-12.65,-13.0,-13.533334,-13.916667,-14.25,-14.583333,-14.9,-14.966666,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-14.983334,-14.964286
8,29.0,19.6,19.733334,20.033333,21.05,24.233334,27.583334,30.833334,33.316666,34.2,34.266666,34.533333,34.783333,34.95,35.0,35.0,34.6,34.266666,34.033333,33.866665,33.7,33.533333,33.366665,33.2,33.033333,32.866665,32.683334,32.516666,32.732143
9,31.0,-1.45,0.033333335,1.25,2.4666667,5.016667,7.616667,10.216666,12.883333,14.983334,15.0,15.0,15.0,15.0,14.95,14.75,14.133333,11.983334,11.733334,11.483334,11.233334,10.983334,10.733334,10.483334,10.233334,9.983334,9.783334,9.3,9.017858
