,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,14.0,4.946143,4.963856,4.989946,5.008963,5.0329447,5.0226192,5.0361915,5.0471168,5.078445,5.0414186,5.0011544,5.0216007,5.0580487,5.090305,5.1374087,5.1815405,5.200518,5.2157936,5.2222557,5.2270317,5.2239494,5.236345,5.250002,5.260349,5.251471,5.239801,5.224297,5.21331
1,21.0,4.755858,4.761051,4.7726765,4.7663116,4.7546124,4.754617,4.75567,4.7517514,4.7466316,4.7400603,4.7326417,4.7238026,4.7216296,4.7648196,4.797245,4.8391347,4.8763213,4.9042964,4.9278913,4.95032,4.969984,4.986831,5.0010295,5.0114455,5.0138626,5.0083447,5.0060477,5.002852
2,23.0,4.317384,4.265985,4.1666446,4.154416,4.152001,4.151833,4.1528625,4.153701,4.154591,4.1554084,4.1565757,4.1575103,4.1639132,4.2602463,4.2937274,4.322728,4.3535314,4.536218,4.5622053,4.58709,4.6107893,4.6337056,4.6558366,4.676872,4.6927986,4.6597943,4.665985,4.6776104
3,25.0,5.2354207,5.221857,5.206788,5.160229,5.1167097,5.0962753,5.072082,5.037075,5.0428576,5.0844264,5.1206393,5.150823,5.181845,5.2172294,5.2475266,5.2769985,5.304233,5.330281,5.352646,5.380264,5.3830795,5.3745446,5.367228,5.359176,5.352834,5.342272,5.3303447,5.317957
4,34.0,5.581138,5.554804,5.5009427,5.4056563,5.2561173,5.262469,5.2655163,5.269937,5.2755933,5.2820015,5.288266,5.3007674,5.4002013,5.4583535,5.47096,5.478852,5.4795794,5.486605,5.4925385,5.49522,5.4977913,5.498482,5.4998183,5.4957147,5.4198356,5.364718,5.3593926,5.3561225
5,39.0,4.4658337,4.4673724,4.4740753,4.491325,4.519114,4.552504,4.584741,4.6125345,4.635072,4.6555033,4.674883,4.6905036,4.7032905,4.7148695,4.724608,4.7287564,4.7293296,4.72594,4.72363,4.72275,4.7225375,4.7218947,4.721704,4.721497,4.722202,4.724359,4.724908,4.723455
6,43.0,5.304521,5.168133,4.985928,4.755356,4.740334,4.7324276,4.726339,4.7205577,4.714829,4.7086873,4.702425,4.6965075,4.695584,4.80597,4.9149337,5.0142856,5.1052876,5.185555,5.257274,5.3220263,5.376639,5.4250855,5.466791,5.5014834,5.529265,5.5408993,5.5580063,5.5685654
7,46.0,5.130476,5.153542,5.185954,5.1231904,4.987553,4.8274083,4.8211765,4.826193,4.8358855,4.8353558,4.8343596,4.8435388,4.808113,4.849276,4.7915044,4.660378,4.6552453,4.7497525,4.764643,4.789903,4.86372,4.909553,4.9374843,4.9464073,4.95117,4.8643203,4.83869,4.8361626
8,51.0,4.9244876,4.7825575,4.6022234,4.313764,4.2613363,4.404274,4.484464,4.5456595,4.6004167,4.646475,4.686882,4.724226,4.757464,4.7867494,4.8140974,4.83802,4.868819,4.904382,4.936704,4.967742,4.9974275,5.026499,5.0550866,5.081967,5.1070046,5.13073,5.1534343,5.173392
9,57.0,5.393369,5.3894386,5.3483214,5.273651,5.203779,5.186076,5.1823688,5.1611266,5.1380925,5.137172,5.1576204,5.156356,5.1479053,5.1512427,5.153372,5.1458087,5.137592,5.1390157,5.141216,5.171822,5.1848283,5.1946483,5.2015834,5.426903,5.541595,5.5552278,5.564007,5.579284
