,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,14.0,9.841905,9.793063,9.668684,9.68841,9.707904,9.677295,10.017561,9.79914,9.947686,9.680229,9.709605,9.736647,9.704808,9.782766,10.693515,9.734086,9.696809,9.772644,9.719914,10.388591,13.6001005,14.436105,9.92567,15.9068985,12.278406,10.036831,11.472227,9.896078,10.291087,9.859524,9.85474681854248,9.855024337768555,9.857645988464355,9.857329368591309,9.857627868652344,9.863006591796875,9.85500717163086,11.714282989501953,13.880109786987305,13.540711402893066,17.48676109313965,10.631377220153809,12.415661811828613,10.70284652709961,9.855639457702637,,,,,,,,,,
1,21.0,9.945779,9.831526,9.95744,9.873087,9.915686,9.835806,9.926141,9.954765,10.828525,9.861516,9.811084,9.844085,9.958215,9.82407,9.795566,9.7499895,10.59742,9.942671,9.921891,9.867557,9.926205,10.012289,9.895301,9.965178,9.84422,9.84905,9.848791,9.857202,9.851085,9.926522,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,8.363188,8.362269,8.361595,8.389351,12.280591,9.91394,11.427464,9.650267,9.732374,9.650933,9.613694,9.721824,9.655949,9.592801,9.593609,9.592801,9.5991335,9.607046,9.6294,9.608781,9.609788,9.598466,9.596559,9.5928,9.605015,9.59377,9.590004,9.613568,9.613568,9.647027,9.587940216064453,9.59261417388916,9.5869140625,9.5869140625,9.59261417388916,10.627556800842285,9.59939193725586,9.595849990844727,9.596501350402832,9.81982421875,9.613866806030273,9.615570068359375,9.640854835510254,9.605048179626465,9.602992057800293,,,,,,,,,,
3,25.0,9.909433,9.966214,9.904244,10.061817,10.127664,9.958629,9.904512,9.907719,9.930559,9.904512,10.239525,9.963649,9.927152,9.952345,9.940899,9.9161005,9.932687,9.966428,10.162673,9.903459,10.390473,10.023326,14.7648945,11.440822,9.514379,9.418338,9.386795,9.40256,9.593881,9.044499,9.055045127868652,9.047274589538574,9.078811645507812,9.003218650817871,9.115520477294922,8.992371559143066,9.066916465759277,9.06718921661377,9.165958404541016,9.090909957885742,9.489293098449707,9.084522247314453,9.127435684204102,9.318323135375977,9.41684341430664,,,,,,,,,,
4,34.0,9.962329,9.90367,9.914631,10.086697,9.754879,9.816361,9.92312,9.65692,9.6571865,9.650465,9.645425,9.654867,9.673306,9.865419,9.74978,9.748623,9.771856,9.648414,9.599655,9.637423,9.826363,9.756872,10.238147,6.424569,6.519378,8.849939,6.493464,6.164206,6.1694694,6.159654,6.1499104499816895,6.830268859863281,6.7640180587768555,6.574968338012695,6.328582286834717,6.3202223777771,6.366698741912842,6.414515495300293,6.447146892547607,6.438596248626709,6.434882640838623,6.4341044425964355,6.476536750793457,6.464354991912842,6.468161582946777,,,,,,,,,,
5,39.0,9.916669,9.87008,10.349009,9.969457,9.894448,9.892617,9.902717,9.891509,9.90053,9.903809,9.89744,9.894033,9.887329,9.90636,11.304079,10.0190735,9.895937,9.94952,9.854912,9.849099,9.864026,9.895097,9.866814,9.858519,9.865339,9.929596,9.858466,9.865693,17.149582,9.874415,9.786436080932617,9.777199745178223,9.782548904418945,9.791282653808594,9.800421714782715,9.796992301940918,105.85420989990234,9.849764823913574,9.781237602233887,9.769922256469727,9.773163795471191,9.771627426147461,9.76785945892334,9.777765274047852,9.772415161132812,,,,,,,,,,
6,43.0,5.9974403,6.20025,5.944728,5.921143,6.4625196,6.2346783,5.934437,5.941006,5.9534206,6.038716,6.044137,6.1182446,6.280679,5.89445,5.9024935,5.901089,5.8990107,5.910489,5.9229584,131.51657,5.921426,5.8983254,5.927177,6.1182766,6.414173,6.3217635,7.4018264,5.9200506,5.933812,5.9275417,5.939080715179443,5.924295902252197,6.012601852416992,6.670459270477295,6.513989448547363,9.043464660644531,6.874872207641602,8.103525161743164,6.8861589431762695,6.85919189453125,5.977872371673584,6.329076290130615,7.003783226013184,8.211831092834473,6.123672962188721,,,,,,,,,,
7,46.0,8.290792,8.257029,8.735899,8.407246,8.489958,89.9625,8.307358,8.485842,8.307622,8.222213,9.103366,7.94562,8.09524,7.8428054,7.872651,8.254119,8.594572,8.423067,8.198118,8.508171,8.445794,8.376354,9.430587,8.087391,8.096428,8.164604,8.118126,9.251895,8.756226,9.006016,8.361574172973633,8.094741821289062,11.056341171264648,10.94546890258789,8.032543182373047,8.139562606811523,8.333322525024414,8.31005859375,8.517739295959473,7.989320755004883,8.7855806350708,13.256600379943848,9.842103004455566,9.851665496826172,9.916142463684082,,,,,,,,,,
8,51.0,9.950431,9.905658,9.923976,9.954223,9.953855,10.06138,9.96481,9.976299,9.9145155,10.036562,11.159523,10.119669,9.940667,9.9411335,9.952281,10.794325,12.263964,14.942622,8.661959,8.661138,8.637213,8.742481,9.161356,8.74257,8.814263,12.809157,12.293908,105.51069,9.993131,9.896024,10.038799285888672,9.732501029968262,10.164461135864258,10.581453323364258,10.317688941955566,9.836703300476074,10.329185485839844,9.856377601623535,9.782063484191895,10.019399642944336,10.30544376373291,10.128434181213379,9.81607723236084,9.799983978271484,9.986466407775879,9.795299530029297,10.636916160583496,9.95269775390625,9.942787170410156,10.652202606201172,9.808520317077637,10.704266548156738,9.7778959274292,10.093175888061523,10.87199878692627
9,57.0,9.576986,10.029195,11.656532,9.515077,9.5168,9.521438,9.523555,9.544851,9.567341,9.59387,9.58449,9.595796,9.612335,9.597807,9.633351,9.655849,9.665832,9.690727,9.649784,9.645299,9.688542,9.680361,9.677977,9.710638,9.708026,9.700154,9.6989355,9.715127,9.756586,9.792239,9.752896308898926,166.16531372070312,9.754192352294922,9.713142395019531,9.715447425842285,10.059464454650879,17.417133331298828,18.994672775268555,14.186305046081543,8.891239166259766,8.88426685333252,8.929702758789062,8.876580238342285,8.8641996383667,8.89372444152832,8.991141319274902,8.95846939086914,8.951931953430176,9.05131721496582,8.953141212463379,8.940210342407227,8.949809074401855,8.98390007019043,9.026947021484375,8.957375526428223
10,71.0,9.830111,9.828933,9.831395,9.833943,9.837001,9.834675,9.786013,9.791831,9.839333,9.787106,9.791802,9.7766485,9.774337,9.781291,9.775504,9.7687645,9.723272,9.717531,9.724429,9.721234,9.905738,10.616026,10.731837,9.864323,9.798956,9.789855,9.80265,9.787868,9.78665,9.794691,9.83236026763916,9.806822776794434,9.879030227661133,9.967604637145996,10.871782302856445,11.329756736755371,11.242046356201172,10.433406829833984,10.159697532653809,10.124829292297363,10.179021835327148,11.393892288208008,11.198481559753418,129.29122924804688,10.357122421264648,,,,,,,,,,
11,72.0,10.186775,9.958102,10.298325,9.906014,9.907382,9.921015,9.939562,9.966188,9.936438,15.44131,12.649431,10.099465,10.02514,9.875285,10.760174,9.847777,10.193484,10.373196,11.084497,14.932295,9.755417,12.339878,16.620523,11.480652,12.978396,11.676484,10.814726,9.382465,9.410148,9.477341,9.507763862609863,9.34282398223877,13.563694953918457,9.693554878234863,9.189598083496094,9.10966682434082,9.002537727355957,9.007461547851562,9.064526557922363,9.060944557189941,11.344599723815918,10.11694049835205,9.06161117553711,9.58808422088623,9.162479400634766,9.379361152648926,9.182719230651855,9.213606834411621,9.190655708312988,9.234457969665527,9.15743637084961,9.16441822052002,9.210183143615723,9.3739013671875,9.266613960266113
12,77.0,12.912017,9.800304,9.821002,10.061869,9.779254,9.776462,9.77003,9.843998,9.86393,9.718657,9.719562,9.858611,9.676146,9.672676,9.686972,9.667165,9.6796465,9.690418,9.68134,9.680095,9.7872305,9.704555,9.70259,9.702978,9.737537,9.69705,9.826181,9.70958,9.741907,9.720519,9.757806777954102,9.752399444580078,9.736786842346191,9.68191146850586,9.691861152648926,11.718851089477539,128.45957946777344,9.710225105285645,9.719391822814941,9.731874465942383,9.717559814453125,9.718652725219727,9.840693473815918,9.95145034790039,9.77702808380127,,,,,,,,,,
13,78.0,9.19709,11.372086,13.796867,13.190946,11.048893,14.807925,10.236656,10.258076,11.305502,10.838485,9.79313,10.433117,10.057893,9.93143,10.148522,9.944822,16.01706,12.390811,12.892046,12.262708,11.521414,10.301095,11.519423,9.732769,11.167845,10.808209,9.931081,14.048353,13.149551,20.217216,13.820028305053711,10.76928997039795,13.144137382507324,14.170930862426758,12.918256759643555,13.838577270507812,16.61888313293457,12.025578498840332,13.186127662658691,11.868562698364258,12.14120864868164,13.181294441223145,12.496318817138672,9.414278984069824,13.28001880645752,,,,,,,,,,
14,79.0,9.0818,9.072662,9.067356,9.068681,9.077263,9.053561,9.064811,9.645708,7.6370687,7.6312547,7.8405366,7.6662354,8.428214,7.6357617,6.881464,6.897683,7.6577706,6.8717413,7.897713,10.612386,6.8862057,6.931756,8.251995,10.944255,10.9708605,9.86684,10.435473,9.886973,9.873628,9.888882,9.858063697814941,9.85208797454834,9.854662895202637,10.305411338806152,9.59056568145752,11.830269813537598,9.80810546875,11.523659706115723,12.058831214904785,11.676934242248535,9.940193176269531,9.914941787719727,10.229246139526367,104.92993927001953,10.574127197265625,,,,,,,,,,
15,80.0,9.68162,9.732497,9.673898,9.860907,10.43094,10.59394,9.8430395,9.873541,10.424847,9.530974,9.486141,9.647304,9.762072,9.834828,9.747541,9.490577,9.369197,9.366469,9.502965,9.729852,9.44035,9.387818,9.385614,9.621725,10.326981,9.495298,9.757624,9.290789,9.298499,9.369304,9.330440521240234,9.6896390914917,10.870430946350098,11.336448669433594,9.51006031036377,9.806573867797852,9.790281295776367,11.258548736572266,9.398505210876465,9.230545043945312,9.343547821044922,9.32384204864502,9.469432830810547,9.340420722961426,9.12044906616211,,,,,,,,,,
16,82.0,10.753542,10.389703,9.779746,10.193732,9.918009,10.907672,10.362711,10.025272,9.943648,9.983406,10.15609,9.875498,9.917611,9.847115,10.015406,13.059957,9.448146,9.471869,9.423698,9.42276,9.437751,9.450532,9.406332,9.465192,9.565988,9.417807,9.678669,9.6510725,9.382362,9.361598,9.333191871643066,9.374320030212402,9.40149211883545,9.466700553894043,9.381847381591797,9.435873985290527,9.418137550354004,9.444412231445312,9.444664001464844,10.222285270690918,9.523420333862305,9.876655578613281,9.548230171203613,9.56902027130127,9.515424728393555,,,,,,,,,,
