,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,10.0,9.558291,9.011601,8.928645,9.011491,8.997611,8.934245,9.171648,9.229397,9.11843,8.932061,8.9776535,9.920036,9.240792,9.494546,9.60018,9.650466,9.445976,8.68038,8.622215,8.671971,8.773624,8.65129,8.808699,8.630544,8.397251,8.358341,8.3219385,8.308494,8.31077,8.300132,8.27993,8.715546,8.700825,8.419374,8.514304,8.735742,13.194988,13.621513,9.435874,14.67085,16.95315,7.7362537,8.217996,7.2439065,6.9686284,7.0083523
1,12.0,9.226025,9.494662,9.419028,8.858722,10.36041,10.209937,8.818421,10.578733,8.102451,7.9545937,7.0098505,6.973313,9.789569,10.014445,9.889308,9.578713,9.550481,9.690768,9.547657,9.557712,9.484837,11.866764,9.644278,10.395607,9.525319,9.496168,9.500947,9.512111,10.033277,9.516407,9.844547,11.344137,9.693428,9.534372,9.62578,10.979974,10.702422,8.035809,8.762358,8.556729,8.586166,8.558303,8.5398855,10.380032,11.6812105,13.176201
2,15.0,10.580067,8.727837,8.147553,10.806974,8.969984,4.51452,11.675453,7.5865116,4.7854457,4.828244,4.8377953,4.9478607,11.6147175,10.934502,15.952228,9.382607,14.914998,14.636772,8.143944,12.153306,6.849337,8.094018,5.829106,6.3396096,2.1647637,0.3923828,7.9742885,16.947182,5.4556847,11.161926,27.847706,12.351358,5.39316,6.0015097,5.663042,5.4473176,5.4653144,5.69514,5.728823,12.59724,6.7338033,14.222198,5.3663964,5.9141006,151.96764,6.1612687
3,16.0,8.626994,6.1211205,5.8103228,5.696459,5.6103115,5.9513283,6.2961636,5.8403316,6.6616244,10.7707405,9.7905855,9.689455,11.108393,8.512826,5.5270624,10.1636,7.811188,15.546174,9.470307,9.630669,9.573549,9.638708,9.500632,13.604831,11.610182,10.667693,3.0336118,7.3004174,13.417739,9.686373,10.301761,9.871304,9.513046,11.837642,10.089658,9.939139,9.953019,9.913229,17.399042,10.527381,11.111183,12.246905,6.9029026,8.217176,7.8913536,5.372267
4,18.0,7.6573935,7.820383,7.768437,13.026848,7.874898,7.8683696,7.893282,7.8928638,7.810157,7.915153,7.5978107,7.72006,8.035741,7.8080053,7.8245864,7.672804,125.150925,8.0249,7.670144,7.5988917,7.598155,7.6068788,7.61132,7.624753,9.895777,11.687688,9.052925,7.0388737,6.9207387,7.0127425,6.815892,7.2185063,5.6540728,5.743224,5.773247,5.8578305,6.3077145,6.2948546,6.768143,7.176683,6.8735847,6.898783,6.9574857,6.9510684,7.0172553,7.0071635
5,22.0,11.041008,10.865555,10.467871,11.346542,10.404634,10.133781,10.152303,10.161592,10.295593,11.505029,10.953472,10.435946,10.099865,15.205896,11.381759,10.193109,18.904875,11.359124,9.895468,9.938535,10.06463,10.018233,13.82115,10.290557,10.618392,16.20153,10.087201,10.087273,10.13546,10.1064415,10.12061,10.153165,10.152907,11.262758,10.188825,10.20891,10.143508,15.236406,10.265988,10.063671,9.977418,9.959386,9.967549,11.228397,10.049379,10.043506
6,26.0,9.438368,9.886369,10.209224,10.40055,10.447929,10.588767,9.770475,9.645509,9.593683,9.784934,13.025056,10.430596,12.988967,11.912745,12.250894,11.5994215,12.846358,12.515388,10.404736,10.421717,10.489024,12.8296175,11.224252,8.798175,8.572437,8.8896475,10.702122,9.476026,9.320925,9.1807995,9.904831,10.759478,13.008097,13.771743,12.9003,13.523097,8.518868,9.043354,9.247134,11.714067,9.22545,13.470789,11.1465845,10.728045,12.2115555,10.977663
7,27.0,6.7868867,9.437227,5.1775856,5.1042633,5.153853,5.1152067,7.6220946,7.6266747,7.3802347,9.72181,11.194086,11.707858,9.482294,10.227634,11.289515,9.225171,9.158757,8.360456,11.2181425,10.37233,9.692162,10.923334,9.451218,10.771858,12.034131,9.648808,8.217453,7.9344087,7.8868623,8.451757,9.622295,9.680323,7.1733465,7.0961947,9.889708,9.468309,9.455513,9.845542,13.208076,9.877068,9.867241,10.177851,7.456018,7.4591117,7.333948,7.473466
8,29.0,13.42289,9.3502,11.224772,8.839619,7.491055,8.26094,12.019066,8.51415,8.524094,8.386906,8.6116495,8.225656,8.523798,8.805065,15.428189,9.983503,10.480612,11.322392,10.981971,10.469328,18.927343,9.227867,9.276504,9.270689,9.102013,9.399709,9.151642,9.085267,111.2475,10.816917,9.091033,9.807802,13.568344,9.452956,8.907695,8.922059,13.240856,9.957332,9.752024,10.631874,12.736976,10.702923,9.846091,10.7044115,10.534095,17.638147
9,31.0,14.319978,10.115825,9.803095,12.148667,11.417688,9.262442,9.080971,10.802668,10.423565,9.427294,9.436897,13.938545,15.6019945,9.958921,18.07509,10.805662,13.42337,12.564184,13.798627,18.189993,9.231593,9.188329,9.426133,125.86285,9.051639,8.975122,8.96124,8.940147,9.071011,9.069589,9.144308,8.780865,8.760278,8.751704,8.740593,8.761123,8.740593,8.838403,8.803525,8.741489,8.753985,8.740065,8.725313,8.715666,8.775514,8.706266
