,0,1,2
0,1,3,3
0,2,3,3
0,3,4,2
0,4,3,3
0,5,3,4
0,6,3,3
0,7,2,1
0,8,3,2
0,9,2,2
0,10,2,2
0,11,2,3
0,12,3,3
0,13,3,2
0,14,2,3
0,15,2,2
0,16,2,3
0,17,3,2
0,18,4,2
0,19,3,2
0,20,3,3
0,21,2,1
0,22,2,3
0,23,3,2
0,24,3,2
0,25,1,2
0,26,2,2
0,27,2,3
0,28,3,3
0,29,2,2
0,30,3,2
0,31,2,2
0,32,2,2
0,33,2,2
0,34,2,3
0,35,2,3
0,36,2,3
0,37,2,3
0,38,2,2
0,39,2,4
0,40,4,1
0,41,2,2
0,42,2,2
0,43,2,2
0,44,2,2
0,45,3,2
0,46,2,2
0,47,2,2
0,48,2,2
0,49,2,2
0,50,2,2
0,51,2,3
0,52,2,3
0,53,2,2
0,54,1,2
0,55,2,2
0,56,2,2
0,57,2,2
0,58,1,2
