,0,1
0,1.0,4454682.290756004
0,2.0,319.2722206977237
0,3.0,146065.34606890974
0,4.0,4274645.599536917
0,5.0,2089055.9318844292
0,6.0,2999836.945924379
0,7.0,52743056.80223018
0,8.0,294166744.1107495
0,9.0,1183722.259517852
0,10.0,611354.4835212834
0,11.0,876656.5019660387
0,12.0,98723351.1827342
0,13.0,21943122.518810183
0,14.0,7379563.320085082
0,15.0,2142884.6732318243
0,16.0,52972450.04788847
0,17.0,15804359.959423661
0,18.0,661949.7414768955
0,19.0,8123324.17873234
0,20.0,209938.36529759286
0,21.0,359.9096463674215
0,22.0,6284987.226440351
0,23.0,423.3476992839978
0,24.0,3494130.55765038
0,25.0,614804.1957123976
0,26.0,4261018.5823509265
0,27.0,4690391.097121522
0,28.0,17159759.43883851
0,29.0,19568873.341788713
0,30.0,115119.47845447317
0,31.0,543831.4309120711
0,32.0,29429973.7981539
0,33.0,3031412.533926802
0,34.0,5428638.315910591
0,35.0,2785550.9319335464
0,36.0,15094987.937477348
0,37.0,2652736.2869852716
0,38.0,137.14530754457974
0,39.0,3392646.243926228
0,40.0,293824.28604505653
0,41.0,731961.1243185261
0,42.0,1650805.841731274
0,43.0,32869539.133409802
0,44.0,537.81016058847
0,45.0,196265.084925248
0,46.0,157081.61116045856
0,47.0,206.19087645218252
0,48.0,206.93002167166856
0,49.0,181989.80988095887
0,50.0,563787.4974257206
0,51.0,374843.21991097345
0,52.0,7851040.599156018
0,53.0,179952.649131539
0,54.0,2090132.968369853
0,55.0,1101625.3058227496
0,56.0,69408.34075850228
0,57.0,336339.7362187922
0,58.0,48633.052418310006
