,0,1
0,1,3.046605471654276e-07
1,2,2.971659605195627e-08
2,3,1.0271485427180912e-07
3,4,5.287014448052768e-08
4,5,5.649265840568012e-08
5,6,3.9389712213189754e-08
6,7,1.177104180678104e-05
7,8,2.7524464661858066e-08
8,9,6.877063003885083e-08
9,10,7.709067558132961e-08
10,11,7.003205763693044e-08
11,12,3.862079061318427e-07
12,13,1.5219058148510925e-07
13,14,6.987791520731296e-08
14,15,6.152087080432075e-07
15,16,3.510494459581124e-08
16,17,3.876267069051776e-08
17,18,7.436398411524337e-08
18,19,1.0882544243062455e-07
19,20,3.5802332011289254e-08
20,21,2.345251584960405e-06
21,22,5.595512226157169e-06
22,23,8.042892790956243e-05
23,24,8.512114705182424e-08
24,25,4.849126489345234e-08
25,26,2.891483339581322e-06
26,27,6.121112567791849e-08
27,28,3.7531232731308575e-08
28,29,1.0383494208795216e-07
29,30,3.4998549941636594e-08
30,31,2.4391450028333594e-08
31,32,9.354394568474599e-06
32,33,9.673174633829364e-07
33,34,6.973025027331635e-07
34,35,5.165219661721826e-07
35,36,2.2252217923143756e-07
36,37,2.7590367166376933e-07
37,38,1.4431718203449902e-07
38,39,1.947913628431451e-08
39,40,3.696539977760094e-08
40,41,2.7825480129080066e-08
41,42,3.074934970651325e-08
42,43,2.9602885791232832e-08
43,44,3.1790201146699545e-08
44,45,1.6743354966943805e-08
45,46,2.3017679680366792e-08
46,47,3.3265139640860305e-08
47,48,2.411046661027973e-08
48,49,2.270331562989571e-08
49,50,2.766628239011385e-08
50,51,2.6637084105789435e-08
51,52,2.3012126636351916e-08
52,53,2.2397948203692415e-08
53,54,2.985948941658117e-08
54,55,2.8521370169513895e-08
55,56,1.1951307408671113e-07
56,57,2.494127892567694e-08
57,58,2.593170579455559e-08
