,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,1,3,2,2,2,2,2,3,4,3,4,4,3,3,4,3,3,4,4,2,3,3,2,2,2,2,2,3,3,3,3,4,3,3,4,4,3,3,2,2,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3
0,2,8,6,6,8,6,4,6,5,5,5,5,3,4,3,4,3,3,3,2,2,3,3,4,4,4,5,4,4,5,4,3,4,5,3,4,5,6,6,6,6,6,4,5,5,4,4,4,4,4,5,5,5,4,4,4,4
0,3,4,4,4,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,5,4,4,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,2,1,2,2,3,5,5,5,5,6,4,4,4,4,3
0,4,5,5,5,5,6,5,5,5,6,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,6,4,5,5,5,5,6,4,4,3,4,3,3,5,5,5,5,4,3,4,3,3,4,4,3,4,4,5
0,5,6,6,5,5,5,6,5,5,5,4,3,3,3,5,5,6,10,12,10,11,10,5,3,5,5,4,5,4,3,3,5,5,4,5,6,4,4,4,5,6,5,8,8,8,6,7,3,3,3,3,3,3,4,5,4,5
0,6,6,4,5,3,3,4,4,4,4,4,4,5,4,4,4,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4
0,7,3,2,2,2,2,1,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,4,4,5,4,4,5,4,4,6,8,6,9,8,6,7,7,6,9,9,6,8,8,5,6,7,6,5,5,6,5,5,4
0,8,2,2,2,2,3,3,3,5,6,6,6,6,4,5,6,5,7,7,7,6,7,5,5,3,3,4,4,4,4,5,5,5,7,7,7,6,7,5,4,4,4,3,3,4,3,4,4,4,5,5,5,5,4,4,4,3
0,9,5,5,4,4,3,3,3,3,5,5,4,4,5,2,4,4,5,4,5,5,4,4,4,4,3,4,3,3,4,6,5,6,7,5,3,6,5,5,5,5,3,3,3,3,4,4,4,4,5,5,4,5,6,6,4,5
0,10,4,4,4,4,4,4,4,4,4,4,3,4,6,6,5,7,6,5,5,5,4,4,4,4,4,5,5,4,4,4,3,4,5,6,6,7,6,4,3,3,2,3,3,5,5,4,5,5,3,4,4,2,4,4,4,4
0,11,13,13,4,5,5,5,8,8,6,9,9,6,6,7,5,5,6,5,5,4,5,3,4,3,8,10,10,10,10,7,4,6,6,6,5,6,4,5,4,4,3,4,5,6,5,7,9,7,6,8,7,5,5,6,4,4
0,12,5,3,4,3,5,5,5,5,7,5,4,5,6,4,4,4,5,5,5,6,6,5,3,5,5,4,4,4,3,3,5,6,6,5,5,4,4,5,5,6,6,5,4,5,4,4,4,4,3,3,3,3,4,3,4,4
0,13,6,5,4,5,5,5,5,6,5,4,4,4,3,3,4,4,3,4,4,4,4,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,4,4,5,5,4,4,5,5,5,5
0,14,3,2,2,4,4,5,4,5,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,4,5,5,5,4,3,2,2,2,2,2,3,3
