,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,5,1,1,2,2,2,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2
0,8,3,2,3,1,2,2,2,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,11,2,1,2,2,2,2,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,17,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,2,3,2,2,2,2,3,3,3,3,4,3
0,20,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,3,3,3,3
0,23,4,3,2,3,2,2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3
0,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
0,29,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1
0,32,3,3,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
0,35,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,40,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,3,2,2,2,2,2,2,1,1,2,1,1,1,2,1
0,42,3,2,2,2,1,1,2,2,2,3,3,3,3,3,2,2,4,4,3,3,4,2,2,2,3,2,2,2,2,1,1,1
0,44,4,4,4,3,4,4,4,3,3,2,2,2,3,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
0,45,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,3,3
0,50,3,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,3,3,3,3,2,2,2,2,2,2,2,2
0,51,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,57,2,2,1,1,1,2,3,3,3,2,2,1,2,2,2,3,2,2,2,3,2,2,2,2,1,1,2,1,1,2,2,1
0,59,4,4,4,4,4,3,3,4,4,3,4,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2
0,62,1,1,2,2,3,3,3,3,3,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1
0,65,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,69,4,4,4,4,4,3,2,3,3,3,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3
0,72,3,2,2,2,3,2,3,3,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,3,4,4,4,4,3,2,3
0,75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
0,76,2,2,3,3,2,2,2,1,2,2,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4
0,79,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3
0,80,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2
0,84,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2
0,86,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3
0,91,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2
0,92,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,3,3,2,3,2,2,2,2,2,3,3,3,2,2,2
0,96,2,2,3,4,3,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2
0,99,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
0,104,2,2,1,2,2,2,3,3,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,4,4,5,5,4,3,3,2,2
0,107,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,1,1,2,1,2,2
0,109,3,3,3,2,2,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,2,2,2,3
0,112,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,3,3,3,5,4
0,117,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1
0,119,3,2,2,1,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
0,120,3,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2
0,126,3,3,1,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,2,3,3,2,3,3,2,2,3,2
0,127,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,3,2,2,3,2,2
0,131,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2
0,133,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,3,2,2,2
0,135,3,2,2,3,2,2,2,2,1,2,3,3,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3
0,138,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,3,2,2,2,2,1,2,1
0,139,3,3,3,2,2,1,2,1,1,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,145,2,2,1,1,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2
0,147,4,3,3,3,4,2,3,3,4,3,3,2,3,2,2,2,2,1,2,2,3,3,3,3,3,3,3,2,2,1,1,2
0,152,3,3,3,1,2,2,2,3,3,2,3,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,3,2,2,2,2,2
0,155,3,3,4,4,3,4,4,3,4,4,4,5,5,4,4,5,3,3,3,2,2,3,2,3,3,3,3,3,4,4,3,3
0,157,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2
0,158,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,2,2,2,3,2,2,2,2,1,2
0,159,2,1,1,2,3,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
0,165,1,1,2,3,3,4,4,5,4,5,4,4,3,3,2,3,3,2,3,3,3,2,3,2,1,1,1,1,1,2,2,2
0,168,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,3,2,2,2,3,2,3,2,2
0,169,6,6,6,2,2,2,3,3,4,4,4,3,3,3,3,3,2,2,2,2,2,3,4,5,4,5,5,4,4,4,3,3
0,170,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
0,173,3,3,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1
0,177,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
0,178,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,3,3,2,3,2,2,3,4,3,4,4,4,3,3,3,3
0,185,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
