,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,1.0,9.787795529179376e-05,9.323269067950651e-05,8.944356807837017e-05,8.589459596802494e-05,8.259380457151534e-05,7.950036553816425e-05,7.663027153585378e-05,7.396301425557384e-05,7.149219726365971e-05,6.920466978492628e-05,6.709060241582939e-05,6.51562679730065e-05,6.337315828890404e-05,6.175275794132312e-05,6.028474122219566e-05,5.89580816646567e-05,5.777355926434453e-05,5.6725717990085534e-05,5.5809851256485014e-05,5.502127133003513e-05,5.436220535001399e-05,5.382654420412578e-05,5.3415123543510914e-05,5.311214420763942e-05,5.292107663437353e-05,4.908559420293394e-05
0,2.0,3.6216565449876484e-05,3.4950580401182514e-05,3.4096555682376923e-05,3.3332510220306684e-05,3.263816455581847e-05,3.203405667818771e-05,3.187026641465511e-05,3.101029939851481e-05,3.060585036754279e-05,3.0264902840937245e-05,2.9989822130189596e-05,2.9778268110242915e-05,2.962421613810222e-05,2.9537375081367392e-05,2.950717810852876e-05,2.9532944117993333e-05,2.9620037988570447e-05,3.011919019417604e-05,2.9971610315300906e-05,3.02491109469328e-05,3.056706998041508e-05,3.0958725527614425e-05,3.141419329659644e-05,3.1935844506820274e-05,3.252532286483743e-05,3.0826170567751125e-05
0,3.0,1.290478571741664e-05,1.1902250840302921e-05,1.1345034403877791e-05,1.0898012205401094e-05,1.0362371230506808e-05,9.935777989815625e-06,9.549191276111723e-06,9.196872493790742e-06,8.876048405272025e-06,8.587326785843076e-06,8.326780852279522e-06,8.092067111659625e-06,7.881419341546884e-06,7.694107744480751e-06,7.588602653354979e-06,7.375952787353158e-06,7.240372591663572e-06,7.132001578749933e-06,7.035192504127021e-06,6.956778843431003e-06,6.893728519913856e-06,6.846976111085442e-06,6.8152628592190205e-06,6.797745825303798e-06,6.798187825217868e-06,6.3337890858742375e-06
0,4.0,3.367639805398865e-05,3.179757295919731e-05,3.056137821193082e-05,2.940362857803415e-05,2.8320807104186412e-05,2.730979009385812e-05,2.636433269145257e-05,2.548413995602698e-05,2.4663495651030287e-05,2.3903158763017833e-05,2.3195488420610926e-05,2.2541381845400476e-05,2.1938165056210804e-05,2.138387436595582e-05,2.0874094611001647e-05,2.04092783061445e-05,1.9987339543666665e-05,1.9609296394583523e-05,1.926579271816835e-05,1.896407325121201e-05,1.8700066485658325e-05,1.847238285618142e-05,1.8285296967378475e-05,1.813170321852352e-05,1.8000088577968345e-05,1.6638855490331362e-05
0,5.0,9.097276313258936e-06,7.231570721516939e-06,5.892406394469428e-06,4.691333002405527e-06,3.6294001353011733e-06,2.706912647554882e-06,1.9233121309745127e-06,1.2635045158494741e-06,7.458508240451194e-07,3.633483391418942e-07,1.3862625950650508e-07,7.103808550348079e-09,3.5172809298980596e-08,2.0407817044811406e-07,5.148462815220844e-07,9.707139792322984e-07,1.5754357818116813e-06,2.3484079570553792e-06,3.245693523240093e-06,4.32001671601582e-06,5.561134481470329e-06,6.980688439938587e-06,8.569207968931314e-06,1.0348572118456475e-05,1.2324267795609497e-05,1.3465325368783046e-05
0,6.0,5.546580278530501e-07,5.370579091831966e-08,1.358877326149851e-09,4.0050789423088796e-08,1.7572988690149106e-07,4.090909838871335e-07,7.436457411712188e-07,1.1843188167842071e-06,1.7393753939665722e-06,2.4012115016562876e-06,3.1836789716702794e-06,4.090612868832486e-06,5.124439235767471e-06,6.293768739119108e-06,7.60262725166864e-06,9.05944543512094e-06,1.0668579222976547e-05,1.244022875343951e-05,1.4377218753651874e-05,1.6488547669553017e-05,1.879318021099712e-05,2.1291681791339477e-05,2.3993866095545677e-05,2.6914472149819323e-05,3.0198266918863068e-05,3.1051072531388323e-05
0,7.0,3.2255646473476004e-05,3.0706586305687635e-05,2.9852485138381763e-05,2.9077556212402145e-05,2.837154103402516e-05,2.7734727632955288e-05,2.7162536007211193e-05,2.6651600923622565e-05,2.619985729827169e-05,2.580663476242535e-05,2.5468939142335026e-05,2.518175416275191e-05,2.4948066836220056e-05,2.4765944745831568e-05,2.4633362636762466e-05,2.45539032357437e-05,2.4523912352737435e-05,2.4544981579591575e-05,2.4616561357983693e-05,2.4738832922325877e-05,2.4912163358570633e-05,2.5139601796628475e-05,2.541328314238961e-05,2.5741778629132378e-05,2.6130564379865496e-05,2.466347912008361e-05
0,8.0,7.195095990406964e-05,6.9313706350713e-05,6.726539232212116e-05,6.534725973561356e-05,6.367103771034692e-05,6.234958903372241e-05,6.0830915999668876e-05,5.966326992546501e-05,5.8661951530178245e-05,5.780562213130532e-05,5.71214050278683e-05,5.6589263477905695e-05,5.620752980303413e-05,5.5975140044730504e-05,5.589480180311563e-05,5.597009073935091e-05,5.634543940317654e-05,5.657130393425114e-05,5.711134409537119e-05,5.7811568706226344e-05,5.868935179274615e-05,5.973396049781437e-05,6.0951112994817977e-05,6.236392544111107e-05,6.397314454632605e-05,6.145851198710518e-05
0,9.0,1.2438934943265737e-06,6.037268014435947e-07,3.8208164241295357e-07,2.0671114904366838e-07,8.582418892344552e-08,3.028348240060789e-08,4.985103959272535e-09,5.5965223838563213e-08,1.722008708951223e-07,3.641581462123072e-07,6.191158742288589e-07,9.604729629251405e-07,1.3850276995764903e-06,1.8984292707520615e-06,2.501539452424782e-06,3.202564056921051e-06,4.033376710270417e-06,4.914464978233646e-06,5.934642516112307e-06,7.074246996870086e-06,8.344229854912505e-06,9.725415425696792e-06,1.1236910694072371e-05,1.289226446260588e-05,1.469433918537485e-05,1.5455246380552438e-05
0,10.0,7.45402517980179e-05,6.961608803697443e-05,6.547831587389675e-05,6.158642790287393e-05,5.793292413654469e-05,5.4500461091066516e-05,5.1276953470269686e-05,4.825663046096998e-05,4.540935803131805e-05,4.27227203735553e-05,4.021624142855531e-05,3.7843217841078736e-05,3.5620217181937346e-05,3.3522129644469634e-05,3.155729274583183e-05,2.9702908775808327e-05,2.7964984019013457e-05,2.6328662227266414e-05,2.4790989110557536e-05,2.3344782053233782e-05,2.1976712655715393e-05,2.0695127124257258e-05,1.9518952391357854e-05,1.8356541460355954e-05,1.7292828580450965e-05,1.5175414764728354e-05
