,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2,9,10,8,9,8,8,8,8,7,7,6,6,7
0,8,6,5,5,6,7,6,6,6,6,6,6,6,6
0,13,8,7,5,7,7,7,7,7,7,6,7,9,8
0,19,11,9,8,9,8,10,8,10,9,8,9,9,8
0,22,10,10,10,10,10,11,10,10,10,9,8,7,7
0,25,11,11,10,12,12,11,11,11,11,10,10,10,9
0,26,5,6,5,5,5,6,6,6,5,5,5,5,5
0,29,11,11,10,10,10,10,8,9,10,8,6,6,5
0,33,10,10,9,8,8,9,9,8,8,8,8,8,8
0,34,6,5,6,5,5,6,6,5,5,6,5,5,6
0,40,9,8,7,8,8,7,7,7,7,7,6,7,6
0,42,9,8,9,9,8,8,8,7,7,6,6,6,5
0,45,8,7,7,7,7,6,5,5,4,5,4,5,5
0,46,9,8,8,8,7,6,7,6,6,6,6,5,5
0,51,3,3,3,3,3,3,2,2,2,3,3,3,3
0,56,5,4,5,5,6,7,6,6,7,6,6,8,8
0,57,11,11,11,11,11,7,6,6,6,7,9,8,8
0,59,7,7,6,7,7,7,7,6,6,6,6,6,6
0,62,8,7,6,6,6,6,6,5,5,5,6,5,5
0,68,7,7,7,7,6,7,6,6,6,4,4,4,5
0,71,7,7,6,6,6,7,7,7,8,8,7,8,8
0,72,10,10,8,10,9,7,8,7,7,7,7,7,8
0,74,10,10,10,8,8,7,7,7,8,7,7,8,7
0,79,10,10,9,9,8,6,7,7,6,5,6,6,5
0,81,10,8,8,7,8,8,8,8,7,8,7,6,5
0,83,7,7,6,6,6,6,7,7,6,7,9,8,9
0,86,7,7,7,7,7,7,7,7,7,6,6,5,5
0,88,8,7,6,6,6,6,6,6,7,7,7,8,7
0,91,14,14,13,14,14,9,8,9,8,8,8,7,6
0,92,9,9,7,8,8,7,6,8,8,8,9,8,8
0,93,9,8,8,9,9,6,7,6,6,6,6,6,5
0,202,11,11,10,10,10,10,10,7,7,7,7,6,7
0,207,22,21,21,21,20,15,13,11,11,11,11,11,11
0,208,12,12,10,10,8,9,9,10,10,10,10,10,10
0,213,10,11,13,13,12,13,13,13,12,12,12,9,10
0,219,11,10,10,11,11,10,10,10,10,11,11,10,10
0,222,8,7,8,7,8,8,9,7,6,6,7,6,7
0,225,10,9,7,7,7,6,6,6,6,8,7,7,7
0,226,8,8,8,7,8,7,7,7,7,6,5,5,6
0,229,7,6,6,6,6,5,5,6,5,4,5,5,5
0,232,8,7,5,8,8,7,7,9,9,9,9,9,9
0,233,8,8,7,8,8,8,8,7,7,7,6,7,6
0,238,14,14,12,13,14,12,11,13,12,13,12,13,11
0,240,40,42,41,42,41,35,14,14,14,15,13,12,13
0,243,7,7,7,6,6,7,7,6,6,6,6,6,5
0,244,7,7,7,7,7,7,7,7,6,7,6,8,7
0,248,14,14,11,11,10,9,10,9,7,8,7,7,7
0,253,9,10,9,9,9,9,9,9,9,9,9,9,8
0,254,8,8,8,8,9,9,9,9,7,7,7,8,7
0,256,8,7,7,7,8,6,6,7,8,7,7,8,9
0,259,9,9,9,9,7,7,7,7,8,8,8,9,8
0,265,7,6,5,6,5,4,5,5,4,4,4,5,5
0,267,10,10,8,9,9,9,9,10,9,9,9,8,8
0,268,13,12,12,13,12,10,10,11,10,10,11,9,9
0,270,9,8,7,7,8,7,7,7,7,7,7,5,5
0,275,9,8,7,6,6,6,6,5,5,6,6,6,6
0,277,10,9,8,10,10,9,8,10,9,7,8,8,8
0,279,13,12,8,9,9,8,7,7,6,6,6,6,6
0,282,10,9,9,9,9,9,9,9,9,9,10,9,9
0,284,7,6,6,6,6,6,5,5,5,6,6,7,6
0,288,13,15,15,15,16,13,10,9,8,10,10,10,10
0,289,9,9,8,8,7,7,6,6,7,7,6,5,6
0,290,5,5,5,6,6,6,6,6,6,6,5,6,5
